"file","specimen_uid","specimen_id","city","urbanity_code","urbanity","site_letter","site","location","species_code","species","side","wing","photo_rep","digit_rep"
"01-ZHRE-L-LF1.txt","ZH_R_E_01_L","01","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"01-ZHRE-L-RF1.txt","ZH_R_E_01_L","01","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"01-ZHUA-L-LF1.txt","ZH_U_A_01_L","01","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"01-ZHUA-L-RF1.txt","ZH_U_A_01_L","01","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"01-ZHUB-L-LF1.txt","ZH_U_B_01_L","01","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"01-ZHUB-L-RF1.txt","ZH_U_B_01_L","01","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"01-ZHUC-L-LF1.txt","ZH_U_C_01_L","01","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"01-ZHUC-L-RF1.txt","ZH_U_C_01_L","01","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"02-ZHRE-L-LF1_rep.txt","ZH_R_E_02_L","02","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,2
"02-ZHRE-L-LF1.txt","ZH_R_E_02_L","02","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"02-ZHRE-L-LF2.txt","ZH_R_E_02_L","02","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Forewing",2,1
"02-ZHRE-L-RF1_rep.txt","ZH_R_E_02_L","02","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,2
"02-ZHRE-L-RF1.txt","ZH_R_E_02_L","02","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"02-ZHRE-L-RF2.txt","ZH_R_E_02_L","02","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Forewing",2,1
