"file","specimen_uid","specimen_id","city","urbanity","site","location","species_code","species","side","wing","series","view"
"01-ZHRE-P-LF1.txt","01_E_P","01","ZH","Rural","ZH-E","ZH-Rural","P","Bombus pascuorum","Left","Forewing",1,"Dorsal"
"01-ZHRE-P-LF2.txt","01_E_P","01","ZH","Rural","ZH-E","ZH-Rural","P","Bombus pascuorum","Left","Forewing",2,"Ventral"
"01-ZHRE-P-RF1.txt","01_E_P","01","ZH","Rural","ZH-E","ZH-Rural","P","Bombus pascuorum","Right","Forewing",1,"Dorsal"
"01-ZHRE-P-RF2.txt","01_E_P","01","ZH","Rural","ZH-E","ZH-Rural","P","Bombus pascuorum","Right","Forewing",2,"Ventral"
"02-ZHRD-L-LF1.txt","02_D_L","02","ZH","Rural","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,"Dorsal"
"02-ZHRD-L-LF2.txt","02_D_L","02","ZH","Rural","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Forewing",2,"Ventral"
"02-ZHRD-L-RF1.txt","02_D_L","02","ZH","Rural","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,"Dorsal"
"02-ZHRD-L-RF2.txt","02_D_L","02","ZH","Rural","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Forewing",2,"Ventral"
"02-ZHRD-P-LF1.txt","02_D_P","02","ZH","Rural","ZH-D","ZH-Rural","P","Bombus pascuorum","Left","Forewing",1,"Dorsal"
"02-ZHRD-P-LF2.txt","02_D_P","02","ZH","Rural","ZH-D","ZH-Rural","P","Bombus pascuorum","Left","Forewing",2,"Ventral"
"02-ZHRD-P-RF1.txt","02_D_P","02","ZH","Rural","ZH-D","ZH-Rural","P","Bombus pascuorum","Right","Forewing",1,"Dorsal"
"02-ZHRD-P-RF2.txt","02_D_P","02","ZH","Rural","ZH-D","ZH-Rural","P","Bombus pascuorum","Right","Forewing",2,"Ventral"
"04-ZHRD-L-LF1.txt","04_D_L","04","ZH","Rural","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,"Dorsal"
"04-ZHRD-L-LF2.txt","04_D_L","04","ZH","Rural","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Forewing",2,"Ventral"
"04-ZHRD-L-RF1.txt","04_D_L","04","ZH","Rural","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,"Dorsal"
"04-ZHRD-L-RF2.txt","04_D_L","04","ZH","Rural","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Forewing",2,"Ventral"
"07-ZHUB-P-LF1.txt","07_B_P","07","ZH","Urban","ZH-B","ZH-Urban","P","Bombus pascuorum","Left","Forewing",1,"Dorsal"
"07-ZHUB-P-LF2.txt","07_B_P","07","ZH","Urban","ZH-B","ZH-Urban","P","Bombus pascuorum","Left","Forewing",2,"Ventral"
"07-ZHUB-P-RF1.txt","07_B_P","07","ZH","Urban","ZH-B","ZH-Urban","P","Bombus pascuorum","Right","Forewing",1,"Dorsal"
"07-ZHUB-P-RF2.txt","07_B_P","07","ZH","Urban","ZH-B","ZH-Urban","P","Bombus pascuorum","Right","Forewing",2,"Ventral"
