"file","specimen_uid","specimen_id","city","urbanity_code","urbanity","site_letter","site","location","species_code","species","side","wing","series","view"
"01-ZHRE-P-LH1.txt","ZH_R_E_01_P","01","ZH","R","Rural","E","ZH-E","ZH-Rural","P","Bombus pascuorum","Left","Hindwing",1,"Dorsal"
"01-ZHRE-P-LH2.txt","ZH_R_E_01_P","01","ZH","R","Rural","E","ZH-E","ZH-Rural","P","Bombus pascuorum","Left","Hindwing",2,"Ventral"
"01-ZHRE-P-RH1.txt","ZH_R_E_01_P","01","ZH","R","Rural","E","ZH-E","ZH-Rural","P","Bombus pascuorum","Right","Hindwing",1,"Dorsal"
"01-ZHRE-P-RH2.txt","ZH_R_E_01_P","01","ZH","R","Rural","E","ZH-E","ZH-Rural","P","Bombus pascuorum","Right","Hindwing",2,"Ventral"
"02-ZHRD-L-LH1.txt","ZH_R_D_02_L","02","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Hindwing",1,"Dorsal"
"02-ZHRD-L-LH2.txt","ZH_R_D_02_L","02","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Hindwing",2,"Ventral"
"02-ZHRD-L-RH1.txt","ZH_R_D_02_L","02","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Hindwing",1,"Dorsal"
"02-ZHRD-L-RH2.txt","ZH_R_D_02_L","02","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Hindwing",2,"Ventral"
"02-ZHRD-P-LH1.txt","ZH_R_D_02_P","02","ZH","R","Rural","D","ZH-D","ZH-Rural","P","Bombus pascuorum","Left","Hindwing",1,"Dorsal"
"02-ZHRD-P-LH2.txt","ZH_R_D_02_P","02","ZH","R","Rural","D","ZH-D","ZH-Rural","P","Bombus pascuorum","Left","Hindwing",2,"Ventral"
"02-ZHRD-P-RH1.txt","ZH_R_D_02_P","02","ZH","R","Rural","D","ZH-D","ZH-Rural","P","Bombus pascuorum","Right","Hindwing",1,"Dorsal"
"02-ZHRD-P-RH2.txt","ZH_R_D_02_P","02","ZH","R","Rural","D","ZH-D","ZH-Rural","P","Bombus pascuorum","Right","Hindwing",2,"Ventral"
"04-ZHRD-L-LH1.txt","ZH_R_D_04_L","04","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Hindwing",1,"Dorsal"
"04-ZHRD-L-LH2.txt","ZH_R_D_04_L","04","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Hindwing",2,"Ventral"
"04-ZHRD-L-RH1.txt","ZH_R_D_04_L","04","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Hindwing",1,"Dorsal"
"04-ZHRD-L-RH2.txt","ZH_R_D_04_L","04","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Hindwing",2,"Ventral"
"07-ZHUB-P-LH1.txt","ZH_U_B_07_P","07","ZH","U","Urban","B","ZH-B","ZH-Urban","P","Bombus pascuorum","Left","Hindwing",1,"Dorsal"
