"landmark","landmark_id","ME_mean"
"LM20",20,0.00698616414101988
"LM18",18,0.00668190648016888
"LM19",19,0.00175345443408818
"LM6",6,0.00173429636103284
"LM1",1,0.00139301278774614
"LM2",2,0.00135868023437053
"LM21",21,0.00131158215039776
"LM5",5,0.00129378218796317
"LM15",15,0.0012783919287595
"LM17",17,0.00124146730099906
"LM13",13,0.00106923021750043
"LM7",7,0.00106544225143199
"LM4",4,0.00100553162905034
"LM8",8,0.000971249521260376
"LM16",16,0.000830489984406839
"LM12",12,0.000829876515662553
"LM3",3,0.000818642458510606
"LM9",9,0.000774988311923781
"LM11",11,0.000767203165222008
"LM14",14,0.000724872369225848
"LM10",10,0.000610649307332198
