"specimen_uid","FA_unsigned","urbanity","species","site"
"ZH_R_D_03_L",1.00021743610754,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_05_L",1.00008122155971,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_06_L",1.00013614084187,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_07_L",1.00011142985583,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_10_L",1.00013798676346,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_11_L",1.00006875550524,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_12_L",1.0001510324173,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_13_L",1.00022600978237,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_14_L",1.00012599256867,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_15_L",1.00029306255483,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_18_L",1.0001556248517,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_19_L",1.00042353749442,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_21_L",1.00021184409818,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_23_L",1.00009258937154,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_25_L",1.0000892193762,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_26_L",1.00014964653527,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_29_L",1.00015480873204,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_31_L",1.00007786455692,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_32_L",1.00007675524838,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_35_L",1.00008823232275,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_E_01_L",1.00012609365382,"Rural","Bombus lapidarius","ZH-E"
"ZH_R_E_02_L",1.00009106397222,"Rural","Bombus lapidarius","ZH-E"
"ZH_R_E_03_L",1.00010828719481,"Rural","Bombus lapidarius","ZH-E"
