"specimen_uid","FA_unsigned","urbanity","species","site"
"ZH_R_D_04_P",1.00010322327661,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_05_P",1.00020981669685,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_06_P",1.0000790369748,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_10_P",1.00013711326784,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_11_P",1.00013846447269,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_12_P",1.00012651010438,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_13_P",1.00005781078254,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_14_P",1.00008914038475,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_16_P",1.00028923082635,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_17_P",1.0000622672825,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_21_P",1.0001094470836,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_23_P",1.00010434069078,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_25_P",1.00012633469871,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_26_P",1.00015246071213,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_27_P",1.00009491055026,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_30_P",1.00011191081304,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_32_P",1.00006383525344,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_33_P",1.00012640368456,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_34_P",1.00019002828762,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_35_P",1.00018482361141,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_E_03_P",1.00009717969463,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_04_P",1.00013040805677,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_05_P",1.00012965587018,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_07_P",1.00011186173829,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_09_P",1.0000773766717,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_10_P",1.00009563519313,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_11_P",1.00009585278132,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_12_P",1.00009370407578,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_13_P",1.00007034041421,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_16_P",1.00010024392765,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_18_P",1.0000662813115,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_22_P",1.00010849414658,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_23_P",1.0001300049886,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_24_P",1.00014706754813,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_28_P",1.00007131856776,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_29_P",1.00011440749572,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_30_P",1.00009665337106,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_31_P",1.00015956394696,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_33_P",1.00005245044515,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_35_P",1.0001049914512,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_F_02_P",1.00009957198887,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_05_P",1.00009033022261,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_06_P",1.00010591628835,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_08_P",1.00008364649482,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_09_P",1.00006707015566,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_11_P",1.00023383058845,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_12_P",1.00007462259489,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_14_P",1.00010831765282,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_15_P",1.0001490759496,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_16_P",1.00005689629687,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_17_P",1.000108387539,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_18_P",1.00026693027593,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_22_P",1.00011468618587,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_23_P",1.00016431292136,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_26_P",1.00010055945791,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_27_P",1.00008215345878,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_31_P",1.00005726313927,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_35_P",1.00012749906071,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_36_P",1.0000831468999,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_37_P",1.00011644486848,"Rural","Bombus pascuorum","ZH-F"
"ZH_U_A_03_P",1.00012703801388,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_04_P",1.00010440315306,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_06_P",1.00013313816991,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_08_P",1.00011506633441,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_09_P",1.00010188763381,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_10_P",1.00005052604317,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_11_P",1.0001260862284,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_12_P",1.00006671335126,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_15_P",1.00008351735162,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_16_P",1.00015540484321,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_17_P",1.00008307706072,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_23_P",1.00011322677186,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_24_P",1.00008436275786,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_25_P",1.00010252957546,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_27_P",1.00021134339157,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_30_P",1.0000810056494,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_32_P",1.00017662089257,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_33_P",1.00011849419948,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_36_P",1.00017259044789,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_37_P",1.00010493495346,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_B_01_P",1.00007889474865,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_05_P",1.00007302820833,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_08_P",1.00016182022297,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_09_P",1.00011288328097,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_13_P",1.00007180830375,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_15_P",1.00024793695307,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_16_P",1.00009769706156,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_17_P",1.00009641046397,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_21_P",1.00007292673693,"Urban","Bombus pascuorum","ZH-B"
