"Species","Test","N_ind","N_wings","N_obs","Source","Df","SS","MS","R2","R2_pct","F","Z","p","sig"
"lapidarius","Digitization ME",24,48,96,"Individual",23,0.0372121,0.00161792,0.871187,87.1187,242.762,18.374,0.001,"**"
"lapidarius","Digitization ME",24,48,96,"Side (DA)",1,0.00059977,0.00059977,0.014041,1.4041,89.993,11.074,0.001,"**"
"lapidarius","Digitization ME",24,48,96,"Individual × Side (FA)",23,0.00458148,0.000199195,0.107259,10.7259,29.888,26.133,0.001,"**"
"lapidarius","Digitization ME",24,48,96,"Digitization replicate",1,7.6666e-06,7.6666e-06,0.000179,0.0179,1.15,0.514,0.309,""
"lapidarius","Digitization ME",24,48,96,"Residuals",47,0.000313237,6.66461e-06,0.007333,0.7333,NA,NA,NA,""
"lapidarius","Imaging ME",24,48,96,"Individual",23,0.0371559,0.00161547,0.86939,86.939,168.429,18.82,0.001,"**"
"lapidarius","Imaging ME",24,48,96,"Side (DA)",1,0.000570526,0.000570526,0.013349,1.3349,59.483,11.294,0.001,"**"
"lapidarius","Imaging ME",24,48,96,"Individual × Side (FA)",23,0.00452363,0.00019668,0.105846,10.5846,20.506,22.68,0.001,"**"
"lapidarius","Imaging ME",24,48,96,"Photo replicate",1,3.70543e-05,3.70543e-05,0.000867,0.0867,3.863,3.788,0.001,"**"
"lapidarius","Imaging ME",24,48,96,"Residuals",47,0.000450798,9.59144e-06,0.010548,1.0548,NA,NA,NA,""
