"specimen_uid","FA_unsigned","urbanity","species","site"
"ZH_R_D_02_L",1.00014383753845,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_02_P",1.00005009272123,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_D_04_L",1.00008329224071,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_18_P",1.00014055752011,"Rural","Bombus pascuorum","ZH-D"
"ZH_R_E_01_P",1.00019581301981,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_15_P",1.00007295579868,"Rural","Bombus pascuorum","ZH-E"
"ZH_R_E_21_L",1.00033368894279,"Rural","Bombus lapidarius","ZH-E"
"ZH_R_E_26_L",1.00006094149821,"Rural","Bombus lapidarius","ZH-E"
"ZH_R_F_24_L",1.01883639686732,"Rural","Bombus lapidarius","ZH-F"
"ZH_R_F_27_L",1.00010092791157,"Rural","Bombus lapidarius","ZH-F"
"ZH_R_F_30_P",1.00008918830104,"Rural","Bombus pascuorum","ZH-F"
"ZH_R_F_33_P",1.0000807758459,"Rural","Bombus pascuorum","ZH-F"
"ZH_U_A_19_L",1.00008596657373,"Urban","Bombus lapidarius","ZH-A"
"ZH_U_A_19_P",1.00004115364285,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_28_P",1.00010627216246,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_31_L",1.00009579191342,"Urban","Bombus lapidarius","ZH-A"
"ZH_U_B_07_P",1.00008926828217,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_21_L",1.00012236889449,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_23_L",1.00009180278889,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_27_P",1.00010639273724,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_C_10_L",1.00005591781643,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_16_L",1.00005334124749,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_19_P",1.0000573739385,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_34_P",1.00005447177386,"Urban","Bombus pascuorum","ZH-C"
